Month,Brooklyn,Manhattan,NYC,Queens
2018-08-01,705166,1153932,630475,509668
2018-09-01,699026,1143231,629347,510927
2018-10-01,698117,1139356,628139,509322
2018-11-01,704713,1134563,630167,510104
2018-12-01,699020,1128822,628516,511821
2019-01-01,699475,1118993,628069,510115
2019-02-01,701191,1111437,629349,513801
2019-03-01,704560,1108493,629769,511847
2019-04-01,704660,1104028,629316,511249
2019-05-01,704735,1104129,630952,514651
2019-06-01,699369,1108605,628469,512856
2019-07-01,695345,1106570,627328,511385
2019-08-01,692660,1098424,625836,509726
2019-09-01,699212,1095115,626012,508606
2019-10-01,698936,1093247,625399,508322
2019-11-01,696360,1093427,626163,509729
